Emp_ID,Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
1001,Craig Hardy,44,,28.5,Hyderabad,Marketing,
1002,Karen Ford,29,inf,20.2,Mumbai,HR,
1003,Kenneth Robles,46,570936.0,,Mumbai,Sales,3.8
1004,Tammy Wilson,51,,10.4,Delhi,Operations,2.9
1005,Sophia Gates,48,,9.1,Jaipur,Operations,
1006,Franklin Braun,48,,21.8,Kolkata,Management,
1007,William Howard,33,801827.0,,Jaipur,Management,
1008,Wesley Neal,51,,22.0,Delhi,Management,
1009,Jerry Ramirez,28,inf,,Chennai,Finance,3.3
1010,Janet Nguyen,27,1008696.0,,Kolkata,Marketing,4.9
1011,Rita Aguirre,34,674294.0,,Hyderabad,HR,
1012,Taylor Moore,41,inf,5.9,Bangalore,Management,
1013,Misty Roberts,50,1055459.0,,Chennai,Finance,3.4
1014,Haley Evans,40,412484.0,14.1,Kolkata,Sales,3.5
1015,Sandy Jones,42,628549.0,,Mumbai,Finance,3.3
1016,Nicole Shields,47,inf,,Chennai,Finance,2.8
1017,Katie Perez,54,inf,2.8,Chennai,IT,4.0
1018,Michael Bray,22,420674.0,,Pune,Marketing,4.4
1019,Michael Travis,30,,,Kochi,Management,
1020,Philip Reyes,53,,26.4,Mumbai,Marketing,3.3
1021,Caleb Green,34,599208.0,23.4,Bangalore,Sales,
1022,Megan Shaffer,22,inf,,Pune,HR,
1023,Edward Webb,53,406726.0,,Hyderabad,Marketing,
1024,Brian Jackson,23,inf,,Delhi,IT,4.5
1025,Zachary Carter,42,837097.0,,Bangalore,Marketing,3.1
1026,Pamela Pearson,59,904042.0,29.7,Mumbai,Finance,4.9
1027,Ronald Ward,48,,,Delhi,IT,3.8
1028,Shannon Duncan,57,,33.0,Bangalore,IT,3.9
1029,Mr. Alex Gross,48,,18.3,Bangalore,Marketing,
1030,Whitney Wang,30,inf,,Delhi,HR,
1031,Jeffrey Hill,24,1002284.0,2.2,Kolkata,HR,
1032,Eric Beasley,35,inf,,Pune,Sales,
1033,Troy Hunt,56,837476.0,,Pune,Marketing,
1034,Jonathan Simon,46,,,Mumbai,HR,
1035,Doris Powers,33,,,Bangalore,Finance,4.5
1036,Lisa Lee,46,1071681.0,30.6,Pune,Finance,
1037,Kevin Diaz,24,559268.0,,Kolkata,Finance,
1038,Walter Silva,44,,16.8,Kolkata,Finance,
1039,John Hampton,32,1130925.0,,Mumbai,HR,3.3
1040,Laurie Silva,47,,,Hyderabad,Marketing,4.1
1041,Dr. Mary Robinson,58,inf,13.3,Kolkata,Marketing,
1042,Jane Little,24,,,Chennai,Operations,2.5
1043,Carolyn Henderson,50,inf,34.4,Chennai,Marketing,2.8
1044,Shawn Hardy,50,,17.2,Chennai,Marketing,
1045,Brian Williams,36,,,Delhi,Sales,3.4
